Issuer Name,ISIN,Cpn,Maturity,Currency,Issue Date,Bloomberg ID,1/10/2022,1/11/2022,1/12/2022,1/13/2022,1/14/2022,1/17/2022,1/18/2022
Canadian Government Bond,CA135087M920,0.75,2/1/2024,CAD,10/22/2021,BS0586336,99.224,99.217,99.134,99.143,99.036,98.931,98.852
Canadian Government Bond,CA135087K940,0.5,9/1/2025,CAD,4/3/2020,BH5185468,96.827,96.838,96.718,96.81,96.604,96.47,96.273
Canadian Government Bond,CA135087J967,1.5,9/1/2024,CAD,4/5/2019,ZS0489246,100.69,100.697,100.594,100.599,100.458,100.314,100.226
Canadian Government Bond,CA135087L518,0.25,3/1/2026,CAD,10/9/2020,ZO8493611,95.189,95.204,95.08,95.178,94.962,94.797,94.575
Canadian Government Bond,CA135087F825,1,6/1/2027,CAD,8/3/2016,QZ0744271,97.391,97.397,97.249,97.381,97.09,96.873,96.589
Canadian Government Bond,CA135087L690,0.25,4/1/2024,CAD,10/16/2020,ZO9618760,97.997,97.993,97.905,97.927,97.811,97.698,97.619
Canadian Government Bond,CA135087K528,1.25,3/1/2025,CAD,10/11/2019,ZQ0603485,99.716,99.717,99.603,99.646,99.456,99.302,99.179
Canadian Government Bond,CA135087D507,2.25,6/1/2025,CAD,6/30/2014,EK3548485,102.979,102.99,102.866,102.933,102.741,102.557,102.385
Canadian Government Bond,CA135087L773,0.25,2/1/2023,CAD,10/26/2020,BM0896381,99.316,99.321,99.279,99.284,99.233,99.179,99.14
Canadian Government Bond,CA135087B451,2.5,6/1/2024,CAD,7/2/2013,EJ7362241,103.048,103.047,102.947,102.953,102.82,102.691,102.598
Canadian Government Bond,CA135087L856,0.25,5/1/2023,CAD,2/5/2021,BN9038405,99.09,99.095,99.044,99.054,98.991,98.923,98.871
Canadian Government Bond,CA135087G732,1,9/1/2022,CAD,4/10/2017,AN1645463,100.197,100.196,100.168,100.166,100.134,100.1,100.075
Canadian Government Bond,CA135087J546,2.25,3/1/2024,CAD,10/5/2018,AU8149901,102.34,102.331,102.238,102.242,102.126,102.008,101.921
Canadian Government Bond,CA135087M359,0.25,8/1/2023,CAD,5/14/2021,BP5161909,98.821,98.822,98.762,98.778,98.7,98.619,98.56
Canadian Government Bond,CA135087ZU15,2.75,6/1/2022,CAD,8/2/2011,EI7672138,100.906,100.899,100.875,100.857,100.834,100.806,100.785
Canadian Government Bond,CA135087L286,0.25,8/1/2022,CAD,5/4/2020,BJ2391222,99.797,99.8,99.772,99.774,99.755,99.724,99.705
Canadian Government Bond,CA135087M276,1.5,6/1/2031,CAD,4/26/2021,BP2380833,98.177,98.198,98.02,98.255,97.667,97.439,97.024
Canadian Government Bond,CA135087K866,1.5,5/1/2022,CAD,1/27/2020,ZP6776824,100.351,100.346,100.332,100.322,100.306,100.288,100.273
Canadian Government Bond,CA135087UT96,8,6/1/2023,CAD,8/17/1992,135087UT9,109.66,109.655,109.556,109.506,109.417,109.319,109.239
Canadian Government Bond,CA135087VW17,8,6/1/2027,CAD,5/1/1996,CC0002502,133.434,133.429,133.228,133.325,132.959,132.687,132.314
Canadian Government Bond,CA135087UM44,9.25,6/1/2022,CAD,12/15/1991,135087UM4,103.407,103.385,103.333,103.272,103.225,103.186,103.14
Canadian Government Bond,CA135087VH40,9,6/1/2025,CAD,8/2/1994,135087VH4,125.225,125.219,125.044,125.068,124.837,124.636,124.398
Canadian Government Bond,CA135087L930,1,9/1/2026,CAD,4/16/2021,BP1003147,97.75,97.754,97.625,97.743,97.488,97.298,97.048
Canadian Government Bond,CA135087M763,0.5,11/1/2023,CAD,8/9/2021,BQ9098642,98.979,98.982,98.911,98.926,98.836,98.742,98.672
Canadian Government Bond,CA135087L369,0.25,11/1/2022,CAD,8/17/2020,BK9320544,99.551,99.554,99.52,99.526,99.488,99.448,99.42
Canadian Government Bond,CA135087WL43,5.75,6/1/2029,CAD,2/2/1998,CC0020322,128.986,128.969,128.786,128.951,128.387,128.144,127.701
Canadian Government Bond,CA135087E679,1.5,6/1/2026,CAD,7/21/2015,UV3007514,100.214,100.221,100.089,100.19,99.947,99.764,99.517
Canadian Government Bond,CA135087H235,2,6/1/2028,CAD,8/1/2017,AO5480923,102.725,102.699,102.527,102.691,102.321,102.073,101.718
Canadian Government Bond,CA135087H987,2,9/1/2023,CAD,4/6/2018,AS0892800,101.574,101.573,101.504,101.509,101.421,101.326,101.259
Canadian Government Bond,CA135087N266,1.5,12/1/2031,CAD,10/25/2021,BS0709235,97.596,97.613,97.423,97.676,97.072,96.831,96.408
Canadian Government Bond,CA135087L443,0.5,12/1/2030,CAD,10/5/2020,ZO7604374,90.349,90.368,90.212,90.439,89.895,89.677,89.303
Canadian Government Bond,CA135087G328,0.5,3/1/2022,CAD,10/11/2016,QZ8085933,100.043,100.042,100.035,100.03,100.027,100.019,100.015
Canadian Government Bond,CA135087H490,1.75,3/1/2023,CAD,10/6/2017,AP4340406,100.944,100.942,100.887,100.884,100.832,100.764,100.715
Canadian Government Bond,CA135087K379,1.25,6/1/2030,CAD,7/26/2019,AZ8014799,97.032,97.043,96.899,97.108,96.571,96.361,95.975
Canadian Government Bond,CA135087M508,0.75,10/1/2024,CAD,7/12/2021,BQ4678315,98.59,98.592,98.489,98.516,98.368,98.23,98.142
Canadian Government Bond,CA135087A610,1.5,6/1/2023,CAD,7/30/2012,EJ2995995,100.727,100.723,100.663,100.665,100.593,100.514,100.457
Canadian Government Bond,CA135087J397,2.25,6/1/2029,CAD,7/27/2018,AT7587724,104.721,104.722,104.573,104.744,104.254,104.036,103.675
Canadian Government Bond,CA135087K601,1.5,2/1/2022,CAD,11/4/2019,ZQ4084443,100.068,100.064,100.06,100.047,100.044,100.038,100.036
Canadian Government Bond,CA135087M847,1.25,3/1/2027,CAD,10/15/2021,BR9532150,98.5,98.5,98.394,98.504,98.22,98.019,97.743
